id_localidad,id_tiempo,id_exposicion,Promedio_PM25,Nacidos,Bajo_Peso,Pct_Bajo_Peso,Prop_Masculino,Edad_Materna_Prom,Mort_Infantil
1,1,1,18.35906976744186,1008.0,143.0,14.187,0.5268,29.31,10.9
1,2,2,13.284518828451883,1008.0,143.0,14.187,0.5268,29.31,10.9
1,3,2,12.899197592778336,1008.0,143.0,14.187,0.5268,29.31,10.9
1,4,1,17.14442916093535,1008.0,143.0,14.187,0.5268,29.31,10.9
2,1,3,24.249652616952293,,,,,,
2,2,1,16.378602833414753,,,,,,
2,3,1,14.907163053722902,,,,,,
2,4,3,20.47760511882998,,,,,,
3,1,3,19.600850259801607,,,,,,
3,2,2,13.708130289817902,,,,,,
3,3,2,13.285275348617349,,,,,,
3,4,1,16.42866878691504,,,,,,
4,1,3,24.39416396479852,,,,,,
4,2,1,16.259826442062277,,,,,,
4,3,1,16.478939895882633,,,,,,
4,4,1,17.732515894641235,,,,,,
5,1,3,25.120689655172413,9014.0,1280.0,14.2,0.5144,27.72,9.8
5,2,1,13.923202082655386,9014.0,1280.0,14.2,0.5144,27.72,9.8
5,3,3,24.276697864170867,9014.0,1280.0,14.2,0.5144,27.72,9.8
5,4,3,31.01783672536017,9014.0,1280.0,14.2,0.5144,27.72,9.8
6,1,3,20.03431486204498,1812.0,268.0,14.79,0.4975,28.79,10.5
6,2,1,14.914609571788413,1812.0,268.0,14.79,0.4975,28.79,10.5
6,3,2,12.390730067243036,1812.0,268.0,14.79,0.4975,28.79,10.5
6,4,1,18.05993618960802,1812.0,268.0,14.79,0.4975,28.79,10.5
7,1,3,21.040303461356093,,,,,,
7,2,1,13.879329004329003,,,,,,
7,3,2,12.106257378984653,,,,,,
7,4,1,16.60757156048015,,,,,,
8,1,1,17.46905089408528,9495.0,1408.0,14.829,0.5125,28.9,8.0
8,2,1,14.568700988748722,9495.0,1408.0,14.829,0.5125,28.9,8.0
8,3,2,12.923603374184308,9495.0,1408.0,14.829,0.5125,28.9,8.0
8,4,1,15.41525162087064,9495.0,1408.0,14.829,0.5125,28.9,8.0
9,1,3,20.424129930394432,953.0,135.0,14.166,0.51,30.85,7.3
9,2,1,15.751201281366791,953.0,135.0,14.166,0.51,30.85,7.3
9,3,2,13.149203283437952,953.0,135.0,14.166,0.51,30.85,7.3
9,4,1,16.922441486920604,953.0,135.0,14.166,0.51,30.85,7.3
10,1,3,19.127934834690944,1575.0,238.0,15.111,0.5029,27.39,8.3
10,2,1,13.776810016330977,1575.0,238.0,15.111,0.5029,27.39,8.3
10,3,1,14.958104738154614,1575.0,238.0,15.111,0.5029,27.39,8.3
10,4,3,20.55778191985089,1575.0,238.0,15.111,0.5029,27.39,8.3
11,1,1,17.090715048025615,,,,,,
11,2,2,13.07746863066012,,,,,,
11,3,2,10.409955257270694,,,,,,
11,4,1,13.734725848563968,,,,,,
12,1,1,18.291502532357907,3557.0,589.0,16.559,0.5084,26.44,11.5
12,2,2,10.987043580683157,3557.0,589.0,16.559,0.5084,26.44,11.5
12,3,2,8.275493421052632,3557.0,589.0,16.559,0.5084,26.44,11.5
12,4,1,16.207831325301203,3557.0,589.0,16.559,0.5084,26.44,11.5
