Año;Área;Grupo de edad de la madre;Número de Nacimientos;Población Mujeres;Tasa
2014;Kennedy;15 a 19 años;2333;45012;51.83
2014;Tunjuelito;15 a 19 años;490;7546;64.94
2014;Bogotá;15 a 19 años;16747;325974;51.38
2014;Antonio Nariño;15 a 19 años;211;3651;57.79
2014;Sumapaz;15 a 19 años;9;157;57.32
2014;Barrios Unidos;15 a 19 años;175;5079;34.46
2014;Ciudad Bolívar;15 a 19 años;2566;30820;83.26
2014;Sin Información;15 a 19 años;51;0;0
2014;Suba;15 a 19 años;1849;48664;38
2014;Fontibón;15 a 19 años;515;15123;34.05
2014;Rafael Uribe Uribe;15 a 19 años;1120;17070;65.61
2014;Chapinero;15 a 19 años;136;5143;26.44
2014;Puente Aranda;15 a 19 años;387;9831;39.37
2015;Teusaquillo;15 a 19 años;61;4726;12.91
2015;La Candelaria;15 a 19 años;54;663;81.45
2015;Los Mártires;15 a 19 años;196;3239;60.51
2015;Antonio Nariño;15 a 19 años;153;3485;43.9
2015;Tunjuelito;15 a 19 años;441;7280;60.58
2015;Usme;15 a 19 años;1244;18047;68.93
2015;Santa Fe;15 a 19 años;269;4512;59.62
2015;Kennedy;15 a 19 años;2137;43924;48.65
2015;Suba;15 a 19 años;1705;47594;35.82
2015;Chapinero;15 a 19 años;113;4902;23.05
2015;Fontibón;15 a 19 años;430;14793;29.07
2015;Rafael Uribe Uribe;15 a 19 años;1032;16520;62.47
2015;Puente Aranda;15 a 19 años;304;9485;32.05
2015;Barrios Unidos;15 a 19 años;134;4830;27.74
2015;Bogotá;15 a 19 años;15379;317402;48.45
2015;Bosa;15 a 19 años;1925;33029;58.28
2015;Ciudad Bolívar;15 a 19 años;2298;30057;76.45
2015;Usaquén;15 a 19 años;546;19717;27.69
2015;Sin Información;15 a 19 años;103;0;0
2015;Engativá;15 a 19 años;1011;32074;31.52
2015;Sumapaz;15 a 19 años;4;150;26.67
2015;San Cristóbal;15 a 19 años;1219;18375;66.34
2016;Suba;15 a 19 años;1437;46111;31.16
2016;Bogotá;15 a 19 años;13757;306452;44.89
2016;San Cristóbal;15 a 19 años;1079;17704;60.95
2016;Engativá;15 a 19 años;854;30903;27.63
2016;Bosa;15 a 19 años;1811;32284;56.1
2016;Santa Fe;15 a 19 años;245;4356;56.24
2016;Antonio Nariño;15 a 19 años;164;3308;49.58
2016;Sumapaz;15 a 19 años;3;143;20.98
2016;Tunjuelito;15 a 19 años;395;6975;56.63
2016;Ciudad Bolívar;15 a 19 años;2045;29071;70.35
2016;Los Mártires;15 a 19 años;143;3103;46.08
2016;Fontibón;15 a 19 años;408;14339;28.45
2016;La Candelaria;15 a 19 años;43;632;68.04
2016;Teusaquillo;15 a 19 años;71;4484;15.83
2016;Rafael Uribe Uribe;15 a 19 años;865;15868;54.51
2016;Usme;15 a 19 años;1172;17501;66.97
2016;Puente Aranda;15 a 19 años;265;9078;29.19
2016;Kennedy;15 a 19 años;1902;42501;44.75
2016;Usaquén;15 a 19 años;480;18896;25.4
2016;Sin Información;15 a 19 años;148;0;0
2016;Barrios Unidos;15 a 19 años;111;4571;24.28
2016;Chapinero;15 a 19 años;116;4624;25.09
2017;Sumapaz;15 a 19 años;7;137;51.09
2017;Los Mártires;15 a 19 años;155;2963;52.31
2017;Sin Información;15 a 19 años;39;0;0
2017;Usaquén;15 a 19 años;464;18040;25.72
2017;Kennedy;15 a 19 años;1713;40979;41.8
2017;Antonio Nariño;15 a 19 años;98;3135;31.26
2017;Teusaquillo;15 a 19 años;69;4242;16.27
2017;Rafael Uribe Uribe;15 a 19 años;810;15200;53.29
2017;Engativá;15 a 19 años;721;29684;24.29
2017;Fontibón;15 a 19 años;333;13841;24.06
2017;Bosa;15 a 19 años;1534;31413;48.83
2017;Chapinero;15 a 19 años;93;4346;21.4
2017;Usme;15 a 19 años;990;16901;58.58
2017;Tunjuelito;15 a 19 años;341;6669;51.13
2017;Suba;15 a 19 años;1331;44485;29.92
2017;Barrios Unidos;15 a 19 años;114;4326;26.35
2017;Bogotá;15 a 19 años;12036;294840;40.82
2017;La Candelaria;15 a 19 años;44;599;73.46
2017;Puente Aranda;15 a 19 años;211;8666;24.35
2017;Santa Fe;15 a 19 años;237;4187;56.6
2017;Ciudad Bolívar;15 a 19 años;1799;28022;64.2
2017;San Cristóbal;15 a 19 años;933;17005;54.87
2018;Sumapaz;15 a 19 años;7;131;53.44
2018;Bosa;15 a 19 años;1420;31296;45.37
2018;Ciudad Bolívar;15 a 19 años;1704;27293;62.43
2018;Rafael Uribe Uribe;15 a 19 años;668;14525;45.99
2018;Usme;15 a 19 años;915;16503;55.44
2018;Sin Información;15 a 19 años;34;0;0
2018;Puente Aranda;15 a 19 años;200;8375;23.88
2018;Suba;15 a 19 años;1137;42957;26.47
2018;Tunjuelito;15 a 19 años;310;6483;47.82
2018;La Candelaria;15 a 19 años;32;511;62.62
2018;Fontibón;15 a 19 años;310;13177;23.53
2018;Engativá;15 a 19 años;653;28251;23.11
2018;Chapinero;15 a 19 años;77;4170;18.47
2018;Santa Fe;15 a 19 años;239;4113;58.11
2018;Los Mártires;15 a 19 años;124;2702;45.89
2018;Teusaquillo;15 a 19 años;72;4006;17.97
2018;Bogotá;15 a 19 años;10676;284835;37.48
2018;Kennedy;15 a 19 años;1439;39581;36.36
2018;Barrios Unidos;15 a 19 años;95;4257;22.32
2018;San Cristóbal;15 a 19 años;763;16341;46.69
2018;Usaquén;15 a 19 años;384;17313;22.18
2018;Antonio Nariño;15 a 19 años;93;2850;32.63
2019;Sin Información;15 a 19 años;20;0;0
2019;La Candelaria;15 a 19 años;28;526;53.23
2019;San Cristóbal;15 a 19 años;649;15924;40.76
2019;Antonio Nariño;15 a 19 años;103;2868;35.91
2019;Los Mártires;15 a 19 años;206;3097;66.52
2019;Puente Aranda;15 a 19 años;186;8020;23.19
2019;Tunjuelito;15 a 19 años;265;6317;41.95
2019;Barrios Unidos;15 a 19 años;75;4122;18.2
2019;Sumapaz;15 a 19 años;4;136;29.41
2019;Santa Fe;15 a 19 años;250;4045;61.8
2019;Teusaquillo;15 a 19 años;67;4003;16.74
2019;Engativá;15 a 19 años;582;27634;21.06
2019;Bogotá;15 a 19 años;9618;279280;34.44
2019;Bosa;15 a 19 años;1272;30373;41.88
2019;Fontibón;15 a 19 años;255;13136;19.41
2019;Usme;15 a 19 años;796;16271;48.92
2019;Usaquén;15 a 19 años;374;16770;22.3
2019;Suba;15 a 19 años;973;42636;22.82
2019;Rafael Uribe Uribe;15 a 19 años;595;14323;41.54
2019;Ciudad Bolívar;15 a 19 años;1551;26967;57.51
2019;Kennedy;15 a 19 años;1297;38105;34.04
2019;Chapinero;15 a 19 años;70;4007;17.47
2020;Suba;15 a 19 años;870;40435;21.52
2020;Antonio Nariño;15 a 19 años;112;2710;41.33
2020;Rafael Uribe Uribe;15 a 19 años;548;13817;39.66
2020;Bogotá;15 a 19 años;8408;265971;31.61
2020;Usme;15 a 19 años;678;15700;43.18
2020;Teusaquillo;15 a 19 años;59;3586;16.45
2020;Los Mártires;15 a 19 años;173;2900;59.66
2020;Puente Aranda;15 a 19 años;151;7664;19.7
2020;Engativá;15 a 19 años;548;26184;20.93
2020;San Cristóbal;15 a 19 años;528;15375;34.34
2020;Sumapaz;15 a 19 años;5;132;37.88
2020;Tunjuelito;15 a 19 años;233;5960;39.09
2020;Santa Fe;15 a 19 años;230;3709;62.01
2020;Chapinero;15 a 19 años;53;3554;14.91
2020;Fontibón;15 a 19 años;200;12548;15.94
2020;Ciudad Bolívar;15 a 19 años;1398;25947;53.88
2020;Kennedy;15 a 19 años;1137;36500;31.15
2020;Sin Información;15 a 19 años;20;0;0
2020;La Candelaria;15 a 19 años;22;468;47.01
2020;Barrios Unidos;15 a 19 años;84;3839;21.88
2020;Usaquén;15 a 19 años;268;15783;16.98
2020;Bosa;15 a 19 años;1091;29160;37.41
2021;San Cristóbal;15 a 19 años;413;14958;27.61
2021;Usaquén;15 a 19 años;239;15269;15.65
2021;La Candelaria;15 a 19 años;16;414;38.65
2021;Sin Información;15 a 19 años;14;0;0
2021;Chapinero;15 a 19 años;49;3280;14.94
2021;Bosa;15 a 19 años;805;28370;28.38
2021;Puente Aranda;15 a 19 años;127;7411;17.14
2021;Suba;15 a 19 años;694;39274;17.67
2021;Antonio Nariño;15 a 19 años;67;2593;25.84
2021;Bogotá;15 a 19 años;6474;257729;25.12
2021;Ciudad Bolívar;15 a 19 años;1158;25281;45.81
2021;Santa Fe;15 a 19 años;180;3561;50.55
2021;Usme;15 a 19 años;565;15471;36.52
2021;Rafael Uribe Uribe;15 a 19 años;427;13423;31.81
2021;Teusaquillo;15 a 19 años;45;3466;12.98
2021;Kennedy;15 a 19 años;800;35353;22.63
2021;Sumapaz;15 a 19 años;4;133;30.08
2021;Los Mártires;15 a 19 años;137;2736;50.07
2021;Barrios Unidos;15 a 19 años;62;3695;16.78
2021;Tunjuelito;15 a 19 años;162;5784;28.01
2021;Fontibón;15 a 19 años;171;12144;14.08
2021;Engativá;15 a 19 años;339;25113;13.5
2022;Tunjuelito;15 a 19 años;145;5626;25.77
2022;Kennedy;15 a 19 años;807;34594;23.33
2022;Rafael Uribe Uribe;15 a 19 años;343;12928;26.53
2022;Bosa;15 a 19 años;726;27630;26.28
2022;San Cristóbal;15 a 19 años;372;14537;25.59
2022;Chapinero;15 a 19 años;39;3129;12.46
2022;Los Mártires;15 a 19 años;120;2628;45.66
2022;Bogotá;15 a 19 años;5716;250624;22.81
2022;Fontibón;15 a 19 años;141;11843;11.91
2022;Antonio Nariño;15 a 19 años;68;2476;27.46
2022;Teusaquillo;15 a 19 años;44;3283;13.4
2022;Sin Información;15 a 19 años;7;0;0
2022;Engativá;15 a 19 años;340;24129;14.09
2022;Santa Fe;15 a 19 años;140;3440;40.7
2022;Usaquén;15 a 19 años;200;14835;13.48
2022;Sumapaz;15 a 19 años;5;133;37.59
2022;La Candelaria;15 a 19 años;16;392;40.82
2022;Puente Aranda;15 a 19 años;103;7135;14.44
2022;Ciudad Bolívar;15 a 19 años;961;24908;38.58
2022;Usme;15 a 19 años;446;15227;29.29
2022;Suba;15 a 19 años;629;38172;16.48
2022;Barrios Unidos;15 a 19 años;64;3579;17.88
2023;Barrios Unidos;15 a 19 años;60;3542;16.94
2023;Ciudad Bolívar;15 a 19 años;839;25215;33.27
2023;Puente Aranda;15 a 19 años;77;6845;11.25
2023;Tunjuelito;15 a 19 años;141;5557;25.37
2023;Antonio Nariño;15 a 19 años;59;2452;24.06
2023;Engativá;15 a 19 años;321;23392;13.72
2023;Los Mártires;15 a 19 años;110;2477;44.41
2023;Santa Fe;15 a 19 años;130;3289;39.53
2023;Rafael Uribe Uribe;15 a 19 años;295;12734;23.17
2023;Suba;15 a 19 años;620;36408;17.03
2023;San Cristóbal;15 a 19 años;285;14238;20.02
2023;La Candelaria;15 a 19 años;16;393;40.71
2023;Usme;15 a 19 años;404;14887;27.14
2023;Kennedy;15 a 19 años;744;34086;21.83
2023;Teusaquillo;15 a 19 años;31;2660;11.65
2023;Bogotá;15 a 19 años;5132;244075;21.03
2023;Sumapaz;15 a 19 años;8;129;62.02
2023;Chapinero;15 a 19 años;44;3010;14.62
2023;Fontibón;15 a 19 años;151;11445;13.19
2023;Sin Información;15 a 19 años;4;0;0
2023;Bosa;15 a 19 años;607;27329;22.21
2023;Usaquén;15 a 19 años;186;13987;13.3
2024p;Bogotá;15 a 19 años;4356;238081;18.3
2024p;Usaquén;15 a 19 años;161;13611;11.83
2024p;Teusaquillo;15 a 19 años;21;2821;7.44
2024p;Antonio Nariño;15 a 19 años;50;2335;21.41
2024p;Puente Aranda;15 a 19 años;64;6764;9.46
2024p;Los Mártires;15 a 19 años;96;2362;40.64
2024p;Suba;15 a 19 años;495;35519;13.94
2024p;Kennedy;15 a 19 años;639;33509;19.07
2024p;Barrios Unidos;15 a 19 años;51;3317;15.38
2024p;Rafael Uribe Uribe;15 a 19 años;278;12445;22.34
2024p;Fontibón;15 a 19 años;113;11069;10.21
2024p;Sumapaz;15 a 19 años;6;130;46.15
2024p;Usme;15 a 19 años;318;14520;21.9
2024p;Bosa;15 a 19 años;519;27082;19.16
2024p;Chapinero;15 a 19 años;38;2906;13.08
2024p;San Cristóbal;15 a 19 años;287;14073;20.39
2024p;Ciudad Bolívar;15 a 19 años;669;23659;28.28
2024p;La Candelaria;15 a 19 años;15;381;39.37
2024p;Engativá;15 a 19 años;302;22887;13.2
2024p;Sin Información;15 a 19 años;3;0;0
2024p;Santa Fe;15 a 19 años;116;3163;36.67
2024p;Tunjuelito;15 a 19 años;115;5528;20.8
2005;Suba;20 a 24 años;3765;42237;89.14
2005;Bosa;20 a 24 años;3035;22992;132
2005;Rafael Uribe Uribe;20 a 24 años;2152;17863;120.47
2005;Sin Información;20 a 24 años;666;0;0
2005;Kennedy;20 a 24 años;4232;44514;95.07
2005;Chapinero;20 a 24 años;351;7384;47.54
2005;Barrios Unidos;20 a 24 años;363;10106;35.92
2005;Antonio Nariño;20 a 24 años;286;5385;53.11
2005;Usaquén;20 a 24 años;1258;20502;61.36
2005;Engativá;20 a 24 años;3394;37629;90.2
2005;Ciudad Bolívar;20 a 24 años;3459;26658;129.75
2005;Sumapaz;20 a 24 años;27;208;129.81
2005;Tunjuelito;20 a 24 años;1234;8465;145.78
2005;Puente Aranda;20 a 24 años;1050;11973;87.7
2005;La Candelaria;20 a 24 años;38;1114;34.11
2005;Santa Fe;20 a 24 años;713;4555;156.53
2005;Teusaquillo;20 a 24 años;243;7184;33.83
2005;San Cristóbal;20 a 24 años;2452;18508;132.48
2005;Usme;20 a 24 años;1949;14167;137.57
2005;Bogotá;20 a 24 años;32420;319775;101.38
2005;Fontibón;20 a 24 años;1277;13763;92.79
2005;Los Mártires;20 a 24 años;476;4568;104.2
2006;Fontibón;20 a 24 años;1246;14146;88.08
2006;Los Mártires;20 a 24 años;446;4350;102.53
2006;Teusaquillo;20 a 24 años;257;7093;36.23
2006;Usaquén;20 a 24 años;1266;21116;59.95
2006;La Candelaria;20 a 24 años;40;1052;38.02
2006;Barrios Unidos;20 a 24 años;459;9249;49.63
2006;Bogotá;20 a 24 años;32612;321270;101.51
2006;Sin Información;20 a 24 años;831;0;0
2006;Sumapaz;20 a 24 años;23;187;122.99
2006;Engativá;20 a 24 años;3171;37115;85.44
2006;Ciudad Bolívar;20 a 24 años;3423;26803;127.71
2006;Antonio Nariño;20 a 24 años;337;5020;67.13
2006;Suba;20 a 24 años;3927;43646;89.97
2006;Bosa;20 a 24 años;2982;24437;122.03
2006;Kennedy;20 a 24 años;4214;44650;94.38
2006;Chapinero;20 a 24 años;349;7532;46.34
2006;Rafael Uribe Uribe;20 a 24 años;2120;17552;120.78
2006;Usme;20 a 24 años;2056;14558;141.23
2006;Puente Aranda;20 a 24 años;1095;11728;93.37
2006;San Cristóbal;20 a 24 años;2444;18182;134.42
2006;Santa Fe;20 a 24 años;724;4572;158.36
2006;Tunjuelito;20 a 24 años;1202;8282;145.13
2007;Fontibón;20 a 24 años;1384;14408;96.06
2007;Puente Aranda;20 a 24 años;1054;11462;91.96
2007;Santa Fe;20 a 24 años;643;4571;140.67
2007;Rafael Uribe Uribe;20 a 24 años;2151;17215;124.95
2007;Los Mártires;20 a 24 años;473;4155;113.84
2007;Barrios Unidos;20 a 24 años;439;8498;51.66
2007;Kennedy;20 a 24 años;4272;44575;95.84
2007;La Candelaria;20 a 24 años;71;994;71.43
2007;Ciudad Bolívar;20 a 24 años;3589;26841;133.71
2007;San Cristóbal;20 a 24 años;2506;17849;140.4
2007;Usaquén;20 a 24 años;1243;21492;57.84
2007;Usme;20 a 24 años;2033;14846;136.94
2007;Sin Información;20 a 24 años;704;0;0
2007;Bosa;20 a 24 años;2986;25600;116.64
2007;Sumapaz;20 a 24 años;13;168;77.38
2007;Suba;20 a 24 años;3913;44648;87.64
2007;Bogotá;20 a 24 años;32800;321198;102.12
2007;Antonio Nariño;20 a 24 años;347;4699;73.85
2007;Teusaquillo;20 a 24 años;255;6972;36.57
2007;Tunjuelito;20 a 24 años;1116;8094;137.88
2007;Chapinero;20 a 24 años;331;7588;43.62
2007;Engativá;20 a 24 años;3277;36523;89.72
2008;Bogotá;20 a 24 años;32874;320635;102.53
2008;Ciudad Bolívar;20 a 24 años;3794;26856;141.27
2008;Los Mártires;20 a 24 años;425;3996;106.36
2008;Sin Información;20 a 24 años;222;0;0
2008;Usaquén;20 a 24 años;1386;21716;63.82
2008;Rafael Uribe Uribe;20 a 24 años;2224;16902;131.58
2008;Bosa;20 a 24 años;3357;26583;126.28
2008;Engativá;20 a 24 años;3046;35962;84.7
2008;Teusaquillo;20 a 24 años;226;6844;33.02
2008;Sumapaz;20 a 24 años;17;153;111.11
2008;Barrios Unidos;20 a 24 años;396;7863;50.36
2008;Fontibón;20 a 24 años;1208;14599;82.75
2008;Suba;20 a 24 años;3940;45417;86.75
2008;Tunjuelito;20 a 24 años;1144;7928;144.3
2008;San Cristóbal;20 a 24 años;2433;17561;138.55
2008;Kennedy;20 a 24 años;4529;44437;101.92
2008;Puente Aranda;20 a 24 años;1024;11211;91.34
2008;Usme;20 a 24 años;2086;15081;138.32
2008;Chapinero;20 a 24 años;340;7586;44.82
2008;Santa Fe;20 a 24 años;642;4567;140.57
2008;La Candelaria;20 a 24 años;90;947;95.04
2008;Antonio Nariño;20 a 24 años;345;4426;77.95
2009;Bogotá;20 a 24 años;31623;321402;98.39
2009;La Candelaria;20 a 24 años;98;912;107.46
2009;Bosa;20 a 24 años;3218;27559;116.77
2009;Sin Información;20 a 24 años;178;0;0
2009;Sumapaz;20 a 24 años;15;140;107.14
2009;Suba;20 a 24 años;3934;46245;85.07
2009;Teusaquillo;20 a 24 años;208;6748;30.82
2009;Santa Fe;20 a 24 años;622;4586;135.63
2009;Tunjuelito;20 a 24 años;1042;7818;133.28
2009;Ciudad Bolívar;20 a 24 años;3601;27003;133.36
2009;Usme;20 a 24 años;2116;15361;137.75
2009;Barrios Unidos;20 a 24 años;406;7368;55.1
2009;Engativá;20 a 24 años;2921;35619;82.01
2009;Fontibón;20 a 24 años;1200;14811;81.02
2009;Rafael Uribe Uribe;20 a 24 años;2068;16700;123.83
2009;San Cristóbal;20 a 24 años;2410;17405;138.47
2009;Antonio Nariño;20 a 24 años;352;4223;83.35
2009;Los Mártires;20 a 24 años;362;3886;93.15
2009;Kennedy;20 a 24 años;4295;44489;96.54
2009;Puente Aranda;20 a 24 años;879;11027;79.71
2009;Chapinero;20 a 24 años;347;7574;45.81
2009;Usaquén;20 a 24 años;1351;21928;61.61
2010;Barrios Unidos;20 a 24 años;381;6996;54.46
2010;Antonio Nariño;20 a 24 años;325;4081;79.64
2010;Ciudad Bolívar;20 a 24 años;3504;27301;128.35
2010;Bogotá;20 a 24 años;29861;323842;92.21
2010;Kennedy;20 a 24 años;4186;44779;93.48
2010;Fontibón;20 a 24 años;1109;15072;73.58
2010;Suba;20 a 24 años;3610;47210;76.47
2010;Santa Fe;20 a 24 años;486;4632;104.92
2010;Rafael Uribe Uribe;20 a 24 años;1928;16616;116.03
2010;Teusaquillo;20 a 24 años;226;6685;33.81
2010;La Candelaria;20 a 24 años;116;891;130.19
2010;Sumapaz;20 a 24 años;15;132;113.64
2010;Bosa;20 a 24 años;3188;28587;111.52
2010;Los Mártires;20 a 24 años;337;3827;88.06
2010;Engativá;20 a 24 años;2713;35521;76.38
2010;Usaquén;20 a 24 años;1197;22170;53.99
2010;Usme;20 a 24 años;1964;15704;125.06
2010;Tunjuelito;20 a 24 años;977;7771;125.72
2010;San Cristóbal;20 a 24 años;2253;17388;129.57
2010;Sin Información;20 a 24 años;168;0;0
2010;Puente Aranda;20 a 24 años;792;10912;72.58
2010;Chapinero;20 a 24 años;386;7567;51.01
2011;Chapinero;20 a 24 años;283;7564;37.41
2011;La Candelaria;20 a 24 años;68;879;77.36
2011;Sin Información;20 a 24 años;31;0;0
2011;Antonio Nariño;20 a 24 años;379;3986;95.08
2011;Bogotá;20 a 24 años;28578;327561;87.24
2011;Usaquén;20 a 24 años;1132;22431;50.47
2011;Puente Aranda;20 a 24 años;821;10850;75.67
2011;Bosa;20 a 24 años;3133;29658;105.64
2011;Sumapaz;20 a 24 años;4;124;32.26
2011;Engativá;20 a 24 años;2545;35606;71.48
2011;Kennedy;20 a 24 años;4166;45256;92.05
2011;Tunjuelito;20 a 24 años;900;7769;115.85
2011;Rafael Uribe Uribe;20 a 24 años;1808;16621;108.78
2011;Teusaquillo;20 a 24 años;222;6650;33.38
2011;San Cristóbal;20 a 24 años;2192;17480;125.4
2011;Fontibón;20 a 24 años;1050;15372;68.31
2011;Ciudad Bolívar;20 a 24 años;3339;27712;120.49
2011;Usme;20 a 24 años;1998;16097;124.12
2011;Barrios Unidos;20 a 24 años;405;6717;60.29
2011;Los Mártires;20 a 24 años;348;3805;91.46
2011;Santa Fe;20 a 24 años;457;4701;97.21
2011;Suba;20 a 24 años;3297;48283;68.28
2012;Engativá;20 a 24 años;2439;35825;68.08
2012;Rafael Uribe Uribe;20 a 24 años;1747;16693;104.65
2012;Puente Aranda;20 a 24 años;782;10819;72.28
2012;Bogotá;20 a 24 años;28486;332158;85.76
2012;Santa Fe;20 a 24 años;500;4789;104.41
2012;Antonio Nariño;20 a 24 años;326;3929;82.97
2012;Teusaquillo;20 a 24 años;201;6633;30.3
2012;Usme;20 a 24 años;1939;16522;117.36
2012;Los Mártires;20 a 24 años;351;3816;91.98
2012;Tunjuelito;20 a 24 años;897;7801;114.99
2012;Fontibón;20 a 24 años;1020;15692;65
2012;Kennedy;20 a 24 años;4260;45862;92.89
2012;Sumapaz;20 a 24 años;18;120;150
2012;Ciudad Bolívar;20 a 24 años;3317;28205;117.6
2012;La Candelaria;20 a 24 años;98;874;112.13
2012;San Cristóbal;20 a 24 años;2029;17651;114.95
2012;Suba;20 a 24 años;3481;49419;70.44
2012;Sin Información;20 a 24 años;15;0;0
2012;Chapinero;20 a 24 años;357;7555;47.25
2012;Usaquén;20 a 24 años;1208;22694;53.23
2012;Bosa;20 a 24 años;3085;30749;100.33
2012;Barrios Unidos;20 a 24 años;416;6510;63.9
2013;Chapinero;20 a 24 años;318;7538;42.19
2013;La Candelaria;20 a 24 años;97;871;111.37
2013;Suba;20 a 24 años;3577;50549;70.76
2013;Barrios Unidos;20 a 24 años;363;6357;57.1
2013;Tunjuelito;20 a 24 años;928;7851;118.2
2013;Bosa;20 a 24 años;3125;31823;98.2
2013;Fontibón;20 a 24 años;1016;16014;63.44
2013;Usaquén;20 a 24 años;1189;22937;51.84
2013;Puente Aranda;20 a 24 años;800;10807;74.03
2013;Ciudad Bolívar;20 a 24 años;3127;28735;108.82
2013;Antonio Nariño;20 a 24 años;360;3897;92.38
2013;Bogotá;20 a 24 años;28077;337116;83.29
2013;Sin Información;20 a 24 años;23;0;0
2013;San Cristóbal;20 a 24 años;1873;17867;104.83
2013;Rafael Uribe Uribe;20 a 24 años;1738;16803;103.43
2013;Santa Fe;20 a 24 años;539;4887;110.29
2013;Usme;20 a 24 años;1767;16955;104.22
2013;Sumapaz;20 a 24 años;12;118;101.69
2013;Teusaquillo;20 a 24 años;207;6620;31.27
2013;Kennedy;20 a 24 años;4231;46526;90.94
2013;Engativá;20 a 24 años;2434;36114;67.4
2013;Los Mártires;20 a 24 años;353;3847;91.76
2014;Usme;20 a 24 años;1749;17371;100.69
2014;Suba;20 a 24 años;3607;51614;69.88
2014;Los Mártires;20 a 24 años;314;3890;80.72
2014;Bogotá;20 a 24 años;28428;341942;83.14
2014;Sin Información;20 a 24 años;78;0;0
2014;Tunjuelito;20 a 24 años;845;7906;106.88
2014;Kennedy;20 a 24 años;4177;47176;88.54
2014;Sumapaz;20 a 24 años;9;116;77.59
2014;Barrios Unidos;20 a 24 años;386;6237;61.89
2014;Teusaquillo;20 a 24 años;242;6604;36.64
2014;Rafael Uribe Uribe;20 a 24 años;1683;16923;99.45
2014;Antonio Nariño;20 a 24 años;359;3883;92.45
2014;Engativá;20 a 24 años;2603;36413;71.49
2014;Puente Aranda;20 a 24 años;810;10795;75.03
2014;San Cristóbal;20 a 24 años;2026;18096;111.96
2014;Chapinero;20 a 24 años;308;7504;41.04
2014;La Candelaria;20 a 24 años;84;871;96.44
2014;Fontibón;20 a 24 años;1002;16317;61.41
2014;Usaquén;20 a 24 años;1127;23137;48.71
2014;Bosa;20 a 24 años;3192;32846;97.18
2014;Santa Fe;20 a 24 años;465;4984;93.3
2014;Ciudad Bolívar;20 a 24 años;3362;29259;114.9
2015;Fontibón;20 a 24 años;987;16611;59.42
2015;Usaquén;20 a 24 años;1153;23313;49.46
2015;Kennedy;20 a 24 años;4094;47837;85.58
2015;Sumapaz;20 a 24 años;8;115;69.57
2015;Chapinero;20 a 24 años;270;7460;36.19
2015;Engativá;20 a 24 años;2296;36742;62.49
2015;San Cristóbal;20 a 24 años;1947;18349;106.11
2015;Ciudad Bolívar;20 a 24 años;3263;29797;109.51
2015;Sin Información;20 a 24 años;146;0;0
2015;Usme;20 a 24 años;1766;17780;99.33
2015;Rafael Uribe Uribe;20 a 24 años;1616;17064;94.7
2015;Barrios Unidos;20 a 24 años;326;6150;53.01
2015;Bogotá;20 a 24 años;27614;346823;79.62
2015;Los Mártires;20 a 24 años;314;3943;79.63
2015;La Candelaria;20 a 24 años;85;872;97.48
2015;Bosa;20 a 24 años;3265;33836;96.49
2015;Santa Fe;20 a 24 años;432;5088;84.91
2015;Antonio Nariño;20 a 24 años;339;3881;87.35
2015;Suba;20 a 24 años;3602;52636;68.43
2015;Tunjuelito;20 a 24 años;799;7969;100.26
2015;Teusaquillo;20 a 24 años;170;6589;25.8
2015;Puente Aranda;20 a 24 años;736;10791;68.2
2016;Kennedy;20 a 24 años;3811;48479;78.61
2016;Antonio Nariño;20 a 24 años;330;3888;84.88
2016;Sumapaz;20 a 24 años;7;114;61.4
2016;Puente Aranda;20 a 24 años;715;10794;66.24
2016;Suba;20 a 24 años;3275;53582;61.12
2016;Barrios Unidos;20 a 24 años;322;6090;52.87
2016;Sin Información;20 a 24 años;257;0;0
2016;Los Mártires;20 a 24 años;298;4000;74.5
2016;Ciudad Bolívar;20 a 24 años;3131;30324;103.25
2016;Rafael Uribe Uribe;20 a 24 años;1622;17209;94.25
2016;Teusaquillo;20 a 24 años;170;6572;25.87
2016;Chapinero;20 a 24 años;304;7409;41.03
2016;Engativá;20 a 24 años;2073;37076;55.91
2016;San Cristóbal;20 a 24 años;1873;18600;100.7
2016;Fontibón;20 a 24 años;973;16887;57.62
2016;Usaquén;20 a 24 años;1137;23464;48.46
2016;Santa Fe;20 a 24 años;394;5190;75.92
2016;Usme;20 a 24 años;1752;18163;96.46
2016;La Candelaria;20 a 24 años;69;871;79.22
2016;Bogotá;20 a 24 años;26505;351518;75.4
2016;Bosa;20 a 24 años;3199;34773;92
2016;Tunjuelito;20 a 24 años;793;8033;98.72
2017;Sumapaz;20 a 24 años;2;114;17.54
2017;Bogotá;20 a 24 años;24604;354208;69.46
2017;Kennedy;20 a 24 años;3593;48846;73.56
2017;Fontibón;20 a 24 años;847;17062;49.64
2017;Los Mártires;20 a 24 años;294;4038;72.81
2017;Ciudad Bolívar;20 a 24 años;3003;30662;97.94
2017;San Cristóbal;20 a 24 años;1663;18753;88.68
2017;Antonio Nariño;20 a 24 años;267;3881;68.8
2017;La Candelaria;20 a 24 años;87;867;100.35
2017;Barrios Unidos;20 a 24 años;298;6021;49.49
2017;Usme;20 a 24 años;1702;18425;92.37
2017;Tunjuelito;20 a 24 años;710;8055;88.14
2017;Bosa;20 a 24 años;2954;35471;83.28
2017;Puente Aranda;20 a 24 años;623;10752;57.94
