ANO;LOCALIDAD;SEXO;MIGRANTE;TOTAL_NACIDOS_VIVOS;TOTAL_BPN;PROPORCIÓN
2016;20 - Sumapaz;Masculino;Colombiano;11;0;0.0
2016;00 - Bogotá;Masculino;Extranjero;388;34;8.76
2016;19 - Ciudad Bolívar;Masculino;Extranjero;11;1;9.09
2016;02 - Chapinero;Masculino;Extranjero;82;6;7.32
2016;01 - Usaquén;Masculino;Extranjero;95;9;9.47
2016;16 - Puente Aranda;Masculino;Extranjero;5;0;0.0
2016;04 - San Cristóbal;Masculino;Extranjero;9;1;11.11
2016;11 - Suba;Masculino;Extranjero;62;5;8.06
2016;99 - Sin Información;Masculino;Extranjero;8;1;12.5
2016;10 - Engativá;Masculino;Extranjero;22;3;13.64
2016;06 - Tunjuelito;Masculino;Extranjero;2;0;0.0
2016;07 - Bosa;Masculino;Extranjero;9;1;11.11
2016;12 - Barrios Unidos;Masculino;Extranjero;9;1;11.11
2016;08 - Kennedy;Masculino;Extranjero;19;2;10.53
2016;09 - Fontibón;Masculino;Extranjero;18;2;11.11
2016;15 - Antonio Nariño;Masculino;Extranjero;1;0;0.0
2016;13 - Teusaquillo;Masculino;Extranjero;10;0;0.0
2016;14 - Los Mártires;Masculino;Extranjero;6;0;0.0
2016;18 - Rafael Uribe Uribe;Masculino;Extranjero;7;0;0.0
2016;03 - Santa Fe;Masculino;Extranjero;9;1;11.11
2016;17 - La Candelaria;Masculino;Extranjero;2;1;50.0
2016;05 - Usme;Masculino;Extranjero;2;0;0.0
2016;00 - Bogotá;Masculino;Sin Informacion;10;2;20.0
2016;14 - Los Mártires;Masculino;Sin Informacion;2;1;50.0
2016;06 - Tunjuelito;Masculino;Sin Informacion;1;0;0.0
2016;05 - Usme;Masculino;Sin Informacion;2;0;0.0
2016;03 - Santa Fe;Masculino;Sin Informacion;1;1;100.0
2016;01 - Usaquén;Masculino;Sin Informacion;1;0;0.0
2016;04 - San Cristóbal;Masculino;Sin Informacion;1;0;0.0
2016;02 - Chapinero;Masculino;Sin Informacion;1;0;0.0
2016;12 - Barrios Unidos;Masculino;Sin Informacion;1;0;0.0
